Item,Category,Suggestion
Plastic bottle,Both,"**Reuse:** Make planters, bird feeders, or storage containers.<br>**Reuse:** Create drip irrigation bottles or DIY light fixtures.<br>**Recycle:** Send to PET recycling centers or bottle return programs."
Plastic container,Both,"**Reuse:** Store dry food, stationery, or small tools.<br>**Reuse:** Organize screws or sewing items.<br>**Recycle:** Drop at plastic recycling bins or reuse for DIY crafts."
Plastic bag,Recycle,"**Reuse:** Line trash bins or reuse for packaging.<br>**Recycle:** Return to supermarket plastic bag collection bins.<br>**Avoid:** Switch to cloth or jute bags."
Toothbrush,Recycle,"**Reuse:** Clean hard-to-reach spots like tiles or jewelry.<br>**Recycle:** Recycle via oral care programs (like Colgate or TerraCycle).<br>**Upcycle:** Use for art texture brushes."
Toothpaste tube,Recycle,"**Recycle:** Through TerraCycle or special plastic programs.<br>**Reuse:** Cut and use as small funnels for glue or paint.<br>**Avoid:** Try toothpaste tablets or glass-jar alternatives."
Plastic cutlery,Reuse,"**Reuse:** Wash and reuse for picnics or craft projects.<br>**Upcycle:** Turn into plant labels or art decorations.<br>**Recycle:** If marked recyclable, send to local collection bins."
Detergent bottle,Recycle,"**Reuse:** Store homemade cleaning solutions.<br>**Reuse:** Cut into scoops or watering cans.<br>**Recycle:** Rinse and drop at plastic recycling centers."
Tupperware box,Reuse,"**Reuse:** For meal prep or leftovers.<br>**Reuse:** Organize cables, jewelry, or small items.<br>**Recycle:** Only if marked recyclable; check plastic type."
Broken plastic toy,Recycle,"**Reuse:** Use parts in creative art or DIY décor.<br>**Recycle:** Drop at plastic recycling centers.<br>**Donate:** Functional parts to art or school projects."
Glass bottle,Both,"**Reuse:** Make flower vases or candle holders.<br>**Reuse:** Convert into lamps or liquid dispensers.<br>**Recycle:** Deposit at glass recycling centers."
Glass jar,Both,"**Reuse:** Store spices, grains, or homemade jams.<br>**Reuse:** Create candle jars or mini terrariums.<br>**Recycle:** Place in glass recycling bins."
Broken glass,Recycle,"**Recycle:** Dispose safely in labeled containers.<br>**Reuse:** Create mosaic art or garden decorations.<br>**Avoid:** Mixing with general waste."
Mirror,Recycle,"**Reuse:** Frame broken pieces for art or décor.<br>**Recycle:** Drop at special glass recycling facilities.<br>**Donate:** Unbroken ones to reuse centers."
Window glass,Recycle,"**Reuse:** Cut and use in art or home DIY projects.<br>**Recycle:** Drop off via construction or glass recycling programs.<br>**Avoid:** Mixing with bottle glass waste."
Newspaper,Both,"**Reuse:** For cleaning windows, wrapping gifts, or packing.<br>**Reuse:** Make seedling pots or paper mache crafts.<br>**Recycle:** Add to paper recycling bin."
Magazine,Both,"**Reuse:** Create collages, scrapbooks, or wall art.<br>**Reuse:** Wrap gifts with colorful pages or use for origami.<br>**Recycle:** Place in paper recycling bins once used."
Old books,Reuse,"**Reuse:** Donate to libraries, schools, or book drives.<br>**Reuse:** Craft hidden storage boxes or paper décor.<br>**Recycle:** Recycle worn pages via paper recycling programs."
Cardboard box,Both,"**Reuse:** For storage, crafts, or shipping parcels.<br>**Reuse:** Build organizers, cat houses, or drawer dividers.<br>**Recycle:** Flatten and add to cardboard recycling bins."
Paper scraps,Both,"**Reuse:** Use for notes, lists, or kids’ crafts.<br>**Reuse:** Shred for compost or packaging filler.<br>**Recycle:** Mix with paper recycling materials."
Paper cup,Recycle,"**Reuse:** Use for seedlings or small paint mixes.<br>**Recycle:** Only if marked recyclable and free from wax lining.<br>**Avoid:** Replace with reusable metal or bamboo cups."
Old jeans,Reuse,"**Reuse:** Upcycle into tote bags, cushions, or denim organizers.<br>**Reuse:** Make patchwork rugs or aprons.<br>**Donate:** To textile recycling centers or charities."
Old T-shirt,Reuse,"**Reuse:** Turn into cleaning rags, pillowcases, or braided mats.<br>**Reuse:** Create tote bags or plant hangers.<br>**Recycle:** Drop at textile recycling bins."
Shoes,Reuse,"**Reuse:** Clean and donate wearable pairs.<br>**Upcycle:** Use soles for creative DIYs like planters.<br>**Recycle:** Drop at footwear recycling programs."
Bag or purse,Reuse,"**Reuse:** Repair or redesign for new looks.<br>**Donate:** To thrift stores or NGOs.<br>**Reuse:** Store accessories, cables, or cosmetics."
Curtain,Reuse,"**Reuse:** Make cushion covers, tablecloths, or reusable gift wraps.<br>**Reuse:** Create tote bags or fabric crafts.<br>**Recycle:** Drop fabric waste at textile recycling centers."
Aluminum can,Recycle,"**Reuse:** Turn into pen stands, candle holders, or lanterns.<br>**Recycle:** Rinse and add to metal recycling bins.<br>**Donate:** Large collections to scrap dealers for reuse."
Tin can,Both,"**Reuse:** Create mini planters or desk organizers.<br>**Reuse:** Use for candle molds or musical instruments.<br>**Recycle:** Drop at scrap metal or municipal recycling centers."
